,xUTM,yUTM,Prob
0,468000,854000,2.4519550537226863e-20
1,468500,854000,1.2203140740210798e-18
2,469000,854000,3.738479606363013e-17
3,469500,854000,7.043162041184086e-16
4,470000,854000,8.158343989857469e-15
5,470500,854000,5.817909658597514e-14
6,471000,854000,2.580010282379696e-13
7,471500,854000,7.693140552617775e-13
8,472000,854000,2.633018690689574e-12
9,472500,854000,2.3217188930554954e-11
10,473000,854000,2.4178188200072694e-10
11,473500,854000,1.7609447811151601e-09
12,474000,854000,8.21221297809681e-09
13,474500,854000,2.4108808540596762e-08
14,475000,854000,4.488252374839703e-08
15,475500,854000,6.28305656599874e-08
16,476000,854000,1.704872600114018e-07
17,476500,854000,9.25240510861098e-07
18,477000,854000,3.782584652775632e-06
19,477500,854000,9.640234606944675e-06
20,478000,854000,1.5100407558313024e-05
21,478500,854000,1.4527462059820766e-05
22,479000,854000,8.598950850314053e-06
23,479500,854000,3.1713127174405362e-06
24,480000,854000,7.91553660158186e-07
25,480500,854000,1.9203134826571958e-07
26,481000,854000,6.664961520663187e-08
27,481500,854000,2.2169620748231653e-08
28,482000,854000,4.97159791968706e-09
29,482500,854000,6.946526343721926e-10
30,483000,854000,5.974389363199311e-11
31,483500,854000,3.1568761509368474e-12
32,484000,854000,1.0244660606526783e-13
33,468000,854500,1.7030479344645571e-18
34,468500,854500,8.396194339604363e-17
35,469000,854500,2.5581401469725575e-15
36,469500,854500,4.8014337703621964e-14
37,470000,854500,5.545751100686546e-13
38,470500,854500,3.943585835147008e-12
39,471000,854500,1.7367618443276896e-11
40,471500,854500,4.935135703296471e-11
41,472000,854500,1.1970519763535022e-10
42,472500,854500,5.866530144250026e-10
43,473000,854500,4.978412911402129e-09
44,473500,854500,3.4314809140959175e-08
45,474000,854500,1.5672318532681242e-07
46,474500,854500,4.545783330954258e-07
47,475000,854500,8.307676837536783e-07
48,475500,854500,1.0084723054199066e-06
49,476000,854500,1.414729753994544e-06
50,476500,854500,5.35293126690079e-06
51,477000,854500,2.1099956081907917e-05
52,477500,854500,5.364150635380565e-05
53,478000,854500,8.401805444896902e-05
54,478500,854500,8.088388390772511e-05
55,479000,854500,4.809419690837462e-05
56,479500,854500,1.8281475079773705e-05
57,480000,854500,5.395905280475975e-06
58,480500,854500,2.0253699722267846e-06
59,481000,854500,9.418985732564858e-07
60,481500,854500,3.3367590527396225e-07
61,482000,854500,7.5389054962737e-08
62,482500,854500,1.0530094721218982e-08
63,483000,854500,9.047662341200344e-10
64,483500,854500,4.777237931556921e-11
65,484000,854500,1.5495245383987845e-12
66,468000,855000,7.517670646972477e-17
67,468500,855000,3.615258343458399e-15
68,469000,855000,1.0883410006499303e-13
69,469500,855000,2.028161434192595e-12
70,470000,855000,2.3308608372101065e-11
71,470500,855000,1.6506387582240457e-10
72,471000,855000,7.227410134948474e-10
73,471500,855000,2.0046352420279426e-09
74,472000,855000,4.098938504740471e-09
75,472500,855000,1.1628838067755926e-08
76,473000,855000,6.868253341517835e-08
